NAME,B02015_009E,B02015_009M,state
Mississippi,,,28
Missouri,953,1141,29
Montana,,,30
Nebraska,412,477,31
Nevada,863,745,32
New Hampshire,,,33
New Jersey,0,213,34
New Mexico,,,35
New York,245,282,36
North Carolina,17317,3062,37
North Dakota,,,38
Ohio,334,312,39
Oklahoma,4967,1497,40
Oregon,3087,2214,41
Pennsylvania,643,324,42
Rhode Island,1203,964,44
South Carolina,2256,1547,45
South Dakota,,,46
Tennessee,384,398,47
Texas,1591,1134,48
Vermont,,,50
Utah,350,383,49
Virginia,405,343,51
Washington,4601,2651,53
West Virginia,,,54
Wisconsin,51816,4827,55
Wyoming,,,56
Puerto Rico,,,72
Illinois,655,511,17
Georgia,3162,1336,13
Idaho,,,16
Hawaii,56,92,15
Indiana,1344,1198,18
Iowa,685,705,19
Kansas,2189,1177,20
Kentucky,530,503,21
Louisiana,0,224,22
Maine,,,23
Maryland,83,108,24
Massachusetts,512,688,25
Michigan,8955,3337,26
Minnesota,91051,7256,27
Connecticut,0,213,09
Florida,1680,1153,12
Alabama,461,532,01
Alaska,,,02
Arizona,141,162,04
Arkansas,,,05
California,95738,10184,06
Colorado,3071,1267,08
Delaware,,,10
District of Columbia,0,218,11
